,code,n_killed,n_injured,n_guns_involved,n_incidents
902,48260,12.0,19.0,67.0,42
903,48300,9.0,8.0,23.0,20
904,48460,12.0,7.0,21.0,16
905,48500,6.0,16.0,27.0,27
906,48540,12.0,8.0,49.0,43
907,48580,9.0,5.0,22.0,20
908,48620,79.0,170.0,481.0,409
909,48660,13.0,11.0,54.0,50
910,48700,10.0,13.0,59.0,24
911,48780,6.0,11.0,88.0,56
912,48820,1.0,3.0,60.0,11
913,48900,43.0,74.0,353.0,189
914,48940,5.0,7.0,39.0,18
915,48980,11.0,2.0,14.0,14
916,49020,7.0,3.0,20.0,16
917,49080,2.0,0.0,1.0,1
918,49100,7.0,5.0,27.0,23
919,49180,71.0,137.0,251.0,223
920,49220,11.0,8.0,53.0,36
921,49260,1.0,4.0,6.0,5
922,49300,2.0,7.0,33.0,14
923,49340,11.0,70.0,719.0,293
924,49380,0.0,2.0,27.0,5
925,49420,38.0,70.0,325.0,134
926,49460,3.0,3.0,11.0,10
927,49620,56.0,98.0,413.0,229
928,49660,82.0,155.0,612.0,425
929,49700,15.0,15.0,54.0,48
930,49740,14.0,19.0,46.0,34
931,49780,8.0,25.0,49.0,43
932,49820,0.0,0.0,1.0,1
