,City,State,CBSA Code,CBSA Title
374,Evansville,Indiana,21780,"Evansville, IN-KY"
375,Fairbanks,Alaska,21820,"Fairbanks, AK"
376,Fairfield,Iowa,21840,"Fairfield, IA"
377,Fairmont,Minnesota,21860,"Fairmont, MN"
378,Fairmont,West Virginia,21900,"Fairmont, WV"
379,Fallon,Nevada,21980,"Fallon, NV"
380,Fargo,North Dakota,22020,"Fargo, ND-MN"
381,Faribault,Minnesota,22060,"Faribault-Northfield, MN"
382,Northfield,Minnesota,22060,"Faribault-Northfield, MN"
383,Farmington,Missouri,22100,"Farmington, MO"
384,Farmington,New Mexico,22140,"Farmington, NM"
385,Fayetteville,North Carolina,22180,"Fayetteville, NC"
386,Bentonville,Arkansas,22220,"Fayetteville-Springdale-Rogers, AR-MO"
387,Fayetteville,Arkansas,22220,"Fayetteville-Springdale-Rogers, AR-MO"
388,Rogers,Arkansas,22220,"Fayetteville-Springdale-Rogers, AR-MO"
389,Springdale,Arkansas,22220,"Fayetteville-Springdale-Rogers, AR-MO"
390,Fergus Falls,Minnesota,22260,"Fergus Falls, MN"
391,Fernley,Nevada,22280,"Fernley, NV"
392,Findlay,Ohio,22300,"Findlay, OH"
393,Fitzgerald,Georgia,22340,"Fitzgerald, GA"
394,Flagstaff,Arizona,22380,"Flagstaff, AZ"
395,Flint,Michigan,22420,"Flint, MI"
396,Florence,South Carolina,22500,"Florence, SC"
397,Florence,Alabama,22520,"Florence-Muscle Shoals, AL"
398,Muscle Shoals,Alabama,22520,"Florence-Muscle Shoals, AL"
399,Fond du Lac,Wisconsin,22540,"Fond du Lac, WI"
400,Forest City,North Carolina,22580,"Forest City, NC"
401,Forrest City,Arkansas,22620,"Forrest City, AR"
402,Fort Collins,Colorado,22660,"Fort Collins, CO"
403,Fort Dodge,Iowa,22700,"Fort Dodge, IA"
404,Fort Leonard Wood,Missouri,22780,"Fort Leonard Wood, MO"
405,Fort Madison,Iowa,22800,"Fort Madison-Keokuk, IA-IL-MO"
406,Keokuk,Iowa,22800,"Fort Madison-Keokuk, IA-IL-MO"
407,Fort Morgan,Colorado,22820,"Fort Morgan, CO"
408,Fort Payne,Alabama,22840,"Fort Payne, AL"
409,Fort Polk South,Louisiana,22860,"Fort Polk South, LA"
410,Fort Smith,Arkansas,22900,"Fort Smith, AR-OK"
411,Fort Wayne,Indiana,23060,"Fort Wayne, IN"
